topic_cluster,language,demand_score,supply_score,gap_score,language_weight,priority_score,dalya_strategic_fit,recommended,intent_type,notes
Oqood & DLD mechanics,zh,3.9,3,0.9,0.4,0.47,1.3,FALSE,informational,阿库德 niche but rising; very thin — 1H 2M 0L queries; 3 total
Tax — home-country residual,zh,3.9,3,0.9,0.4,0.47,1.3,FALSE,informational,Generic 'no tax Dubai'; CRS+遣返 angle empty — 1H 2M 0L queries; 3 total
Pricing & benchmarking,ru,3.5,3,0.5,0.7,0.45,1.3,FALSE,commercial-investigational,Goldenbee index only; no seller-facing valuation tool — 0H 3M 0L queries; 3 total
"Documents & forms (Form F/A, Trakheesi)",ru,5.5,5,0.5,0.7,0.42,1.2,FALSE,informational,Form F via VC.ru; Form A/Trakheesi thin — 3H 1M 1L queries; 5 total
Commission — 0.15% vs 2%,zh,4.7,4,0.7,0.4,0.42,1.5,FALSE,commercial-investigational,Uniform 2%-buyer-paid; seller-side commission savings absent — 3H 0M 0L queries; 3 total
Commission — 0.15% vs 2%,hi,2.2,1,1.2,0.2,0.36,1.5,FALSE,commercial-investigational,Zero organic Hindi supply on commission; wedge lives inside compliance pieces — 0H 0M 1L queries; 1 total
NOC procedures,hi,2.2,1,1.2,0.2,0.31,1.3,FALSE,commercial-investigational,Zero native Hindi NOC content; English supply dominates — 0H 0M 1L queries; 1 total
SPA transfer,hi,2.2,1,1.2,0.2,0.31,1.3,FALSE,informational,Empty — 0H 0M 1L queries; 1 total
Oqood & DLD mechanics,hi,2.2,1,1.2,0.2,0.31,1.3,FALSE,informational,Effectively empty — 0H 0M 1L queries; 1 total
Regulatory / RERA,hi,2.5,1,1.5,0.2,0.27,0.9,FALSE,informational,News-framed only; procedural empty — 0H 1M 0L queries; 1 total
Developer-specific rules,hi,2.2,1,1.2,0.2,0.26,1.1,FALSE,commercial-investigational,Zero dedicated coverage — 0H 0M 1L queries; 1 total
Banking / getting paid,zh,2.5,2,0.5,0.4,0.26,1.3,FALSE,transactional,Near-empty — 0H 1M 0L queries; 1 total
Payment plan arrears / distress,zh,3.5,3,0.5,0.4,0.24,1.2,FALSE,informational,Lagoon-19 news only; procedural absent — 0H 3M 0L queries; 3 total
Remote selling / POA,hi,2.2,2,0.2,0.2,0.05,1.2,FALSE,transactional,All Indian-POA content; zero Dubai-specific Hindi POA — 0H 0M 1L queries; 1 total
"Documents & forms (Form F/A, Trakheesi)",hi,1,1,0,0.2,0.0,1.2,FALSE,informational,Empty — no observed queries
Fees & net proceeds,hi,1,1,0,0.2,0.0,1.4,FALSE,commercial-investigational,Empty — no observed queries
Payment plan arrears / distress,hi,1,1,0,0.2,0.0,1.2,FALSE,informational,Not observed — no observed queries
Pricing & benchmarking,hi,1,1,0,0.2,0.0,1.3,FALSE,commercial-investigational,Empty — no observed queries
Marketplace / listing channels,hi,1,1,0,0.2,0.0,1.4,FALSE,transactional,No Hindi portal edition; empty — no observed queries
Oqood & DLD mechanics,ru,3.9,4,-0.1,0.7,-0.09,1.3,FALSE,informational,"Fragmented; Metropolitan has buy-side, no seller-side Oqood — 1H 2M 0L queries; 3 total"
Pricing & benchmarking,zh,3.8,4,-0.2,0.4,-0.1,1.3,FALSE,commercial-investigational,ROI/yield ubiquitous; seller pricing missing — 2H 0M 0L queries; 2 total
"Documents & forms (Form F/A, Trakheesi)",en,5.9,6,-0.1,1.0,-0.12,1.2,FALSE,informational,Form F covered; Form A weak; Trakheesi moderate — 1H 5M 2L queries; 8 total
NOC procedures,zh,2.5,3,-0.5,0.4,-0.26,1.3,FALSE,commercial-investigational,Broker pages explain NOC abstractly; no developer tables — 0H 1M 0L queries; 1 total
Marketplace / listing channels,zh,2.5,3,-0.5,0.4,-0.28,1.4,FALSE,transactional,Bayut zh is listings-only; Juwai thin; gap — 0H 1M 0L queries; 1 total
Market context / oversupply,zh,6.6,8,-1.4,0.4,-0.28,0.5,FALSE,informational,新浪/澎湃/36氪 dominate; Zhihu skeptical cluster; saturated — 4H 2M 0L queries; 6 total
Regulatory / RERA,ru,2.5,3,-0.5,0.7,-0.32,0.9,FALSE,informational,Metropolitan has RERA explainer; thin beyond that — 0H 1M 0L queries; 1 total
Market context / oversupply,hi,3.4,7,-3.6,0.2,-0.36,0.5,FALSE,informational,AajTak/TV9/Patrika/IndiaTV — saturated news — 1H 1M 0L queries; 2 total
Payment plan arrears / distress,ru,3.5,4,-0.5,0.7,-0.42,1.2,FALSE,informational,Housebook + emirates.estate cover risk; seller handholding missing — 0H 3M 0L queries; 3 total
"Documents & forms (Form F/A, Trakheesi)",zh,1,2,-1,0.4,-0.48,1.2,FALSE,informational,Empty — no observed queries
Banking / getting paid,hi,1,3,-2,0.2,-0.52,1.3,FALSE,transactional,Bring-money-to-India angle covered by CA blogs; Dubai-exit-specific empty — no observed queries
"Documents & forms (Form F/A, Trakheesi)",ar,4.5,5,-0.5,0.9,-0.54,1.2,FALSE,informational,Form A/B Arabic = EMPTY; Trakheesi competitive — 2H 1M 1L queries; 4 total
Developer-specific rules,zh,3.5,5,-1.5,0.4,-0.66,1.1,FALSE,commercial-investigational,dubaiemaar.cn dominates brand SERP; long-tail resale/NOC open — 0H 3M 0L queries; 3 total
Market context / oversupply,ru,3.9,6,-2.1,0.7,-0.73,0.5,FALSE,informational,Forbes + Kommersant — Forbes.ru 'Слезинка инвестора' owns narrative — 1H 2M 0L queries; 3 total
Remote selling / POA,en,5.3,6,-0.7,1.0,-0.84,1.2,FALSE,transactional,EGSH + Sara Advocates; no country-by-country attestation chain — 2H 1M 4L queries; 7 total
Remote selling / POA,ar,5.2,6,-0.8,0.9,-0.86,1.2,FALSE,transactional,POA.ae + Private Notary; GCC-specific missing — 3H 1M 0L queries; 4 total
Oqood & DLD mechanics,en,8.3,9,-0.7,1.0,-0.91,1.3,FALSE,informational,EGSH + Bayut + Pearlshire saturated; legal-firm dominance — 4H 4M 3L queries; 11 total
SPA transfer,zh,1,3,-2,0.4,-1.04,1.3,FALSE,informational,Very thin — no observed queries
Market context / oversupply,en,5.9,8,-2.1,1.0,-1.05,0.5,FALSE,informational,Khaleej Times + Knight Frank + Prelaunch — saturated — 1H 3M 6L queries; 10 total
Fees & net proceeds,zh,3.0,5,-2.0,0.4,-1.12,1.4,FALSE,commercial-investigational,4% DLD repeated everywhere; net-proceeds math absent — 0H 2M 0L queries; 2 total
Marketplace / listing channels,ar,1,2,-1,0.9,-1.26,1.4,FALSE,transactional,Bayut-filter pages; no standalone guide — no observed queries
Banking / getting paid,ar,2.8,4,-1.2,0.9,-1.4,1.3,FALSE,transactional,Escrow + law refs; seller-proceeds chain missing — 0H 1M 1L queries; 2 total
Developer-specific rules,en,2.5,4,-1.5,1.0,-1.65,1.1,FALSE,commercial-investigational,Thin — no per-developer NOC+%paid+timing table — 0H 0M 2L queries; 2 total
SPA transfer,ru,2.9,5,-2.1,0.7,-1.91,1.3,FALSE,informational,VC.ru owns with deep legal pieces — 1H 0M 0L queries; 1 total
Market context / oversupply,ar,4.3,9,-4.7,0.9,-2.12,0.5,FALSE,informational,Al Bayan + Al Khaleej + Asharq — saturated news — 2H 1M 0L queries; 3 total
Banking / getting paid,en,3.2,5,-1.8,1.0,-2.34,1.3,FALSE,transactional,Mortgaged-property sale covered; broader banking friction absent — 0H 2M 1L queries; 3 total
Pricing & benchmarking,ar,1,3,-2,0.9,-2.34,1.3,FALSE,commercial-investigational,DLD valuation procedural; seller AVM missing — no observed queries
SPA transfer,ar,3.9,6,-2.1,0.9,-2.46,1.3,FALSE,informational,Taraf/ATB cover; lane open for seller-exit framing — 1H 2M 0L queries; 3 total
Regulatory / RERA,en,2.2,5,-2.8,1.0,-2.52,0.9,FALSE,informational,Trakheesi + RERA explainers moderate; seller rulebook missing — 0H 0M 1L queries; 1 total
Fees & net proceeds,ar,2.9,6,-3.1,0.9,-3.91,1.4,FALSE,commercial-investigational,Westgate/Taraf cover 2025; 2026 + calculator = gap — 1H 0M 0L queries; 1 total
SPA transfer,en,3.1,7,-3.9,1.0,-5.07,1.3,FALSE,informational,EGSH + Form F sites cover; moderate-saturated — 1H 0M 1L queries; 2 total
